Sample:	'1
File name:	GF1.FD3
Run Date:	13:17:32, 06/01/2016
Operator:	elisabeth
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	1910-003
ROM Version:	5J14000 03

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	250.0 nm
EM  End WL:	600.0 nm
EM Sampling Interval:	2.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	0.01 s
Corrected spectra:	On
Shutter control:	On
Contour interval:	10.000

Instrumental Response
EX (200 to 600nm)  Slit:5.0/20.0nm  PMT Voltage:400V
EM (200 to 600nm)  Slit:5.0/20.0nm  PMT Voltage:250V
EM (500 to 900nm)  None
EX (500 to 900nm)  None

Data Points
	200.000	205.000	210.000	215.000	220.000	225.000	230.000	235.000	240.000	245.000	250.000	255.000	260.000	265.000	270.000	275.000	280.000	285.000	290.000	295.000	300.000	305.000	310.000	315.000	320.000	325.000	330.000	335.000	340.000	345.000	350.000	355.000	360.000	365.000	370.000	375.000	380.000	385.000	390.000	395.000	400.000	405.000	410.000	415.000	420.000	425.000	430.000	435.000	440.000	445.000	450.000
250.0	435.6	277.0	171.0	144.2	102.2	132.1	355.5	181.3	55.57	 2478	9999.9	 3980	66.56	11.89	8.088	7.222	6.872	5.494	4.321	4.312	3.908	3.828	3.136	3.130	3.117	2.851	2.434	2.907	2.845	2.874	2.649	2.021	2.244	2.319	2.394	1.958	2.308	1.915	1.954	1.891	1.887	1.850	1.723	1.615	1.603	1.610	1.285	1.171	1.274	1.260	1.177
252.0	418.5	264.6	222.5	178.3	100.8	102.0	278.2	303.4	69.47	569.7	 6849	 8926	 1108	13.41	9.476	7.009	6.832	5.423	5.271	4.489	3.881	4.368	3.471	3.011	2.735	2.607	2.713	2.620	2.239	2.864	2.769	2.586	2.264	2.507	2.542	2.028	1.725	1.683	1.836	2.073	1.858	1.941	2.029	1.561	1.568	1.262	1.171	1.450	1.350	1.052	0.890
254.0	490.4	348.9	245.5	177.0	118.7	81.25	188.3	341.1	121.2	124.1	 3231	9999.9	 3540	75.39	10.33	7.003	6.784	5.351	5.965	4.343	4.122	4.257	3.376	3.301	3.454	2.450	2.742	2.481	2.726	2.451	2.483	2.571	2.564	2.421	2.228	1.796	2.135	2.086	2.134	1.966	2.076	1.808	1.666	1.908	1.701	1.117	1.322	1.317	1.102	1.091	1.150
256.0	467.4	252.5	219.9	144.2	117.1	72.84	106.8	324.4	212.9	52.53	962.4	 9123	 7704	582.3	11.27	10.74	6.780	6.618	5.550	4.363	3.769	3.483	3.077	3.277	3.605	2.934	2.942	3.098	2.429	2.681	2.087	2.303	2.656	2.218	2.016	2.223	1.820	2.184	1.973	1.699	2.292	1.987	1.825	1.895	1.602	1.516	1.367	1.204	1.204	1.076	0.927
258.0	466.4	329.4	232.9	176.3	107.2	67.43	69.86	243.9	310.7	63.97	206.3	 5065	9999.9	 2414	23.68	10.67	7.147	6.318	5.517	5.086	3.849	3.507	3.681	3.294	2.428	2.520	2.666	2.182	2.726	2.640	2.301	2.458	2.181	2.309	2.190	2.218	2.102	2.013	1.952	1.942	1.757	1.790	2.149	1.757	1.570	1.510	1.313	1.406	1.469	1.440	1.376
260.0	532.7	311.9	235.6	169.3	121.9	77.12	62.54	156.3	364.1	115.7	65.22	 1839	9999.9	 6200	212.6	10.57	8.435	5.836	6.419	5.692	4.533	3.376	3.928	2.935	3.077	2.850	2.852	2.400	2.637	2.730	2.114	2.404	2.247	2.207	2.432	2.151	2.262	1.779	1.840	1.856	1.743	1.658	1.720	1.909	1.577	1.484	1.284	1.394	1.186	0.997	1.250
262.0	562.3	333.2	258.1	173.3	112.2	54.98	60.23	80.73	354.8	206.2	41.89	450.5	 7841	9999.9	 1263	12.30	8.269	8.120	5.514	5.274	4.307	4.122	4.094	3.476	2.924	3.186	2.916	2.995	2.321	2.899	2.433	2.253	2.305	2.345	2.333	1.990	2.320	2.196	1.973	2.082	1.859	1.505	1.934	1.832	1.720	1.663	1.415	1.424	0.948	1.131	1.076
264.0	568.6	293.8	232.8	202.5	133.4	82.44	57.12	51.45	249.9	308.5	60.76	94.05	 3604	9999.9	 4298	79.65	9.064	7.054	7.126	5.408	4.174	4.140	3.319	3.592	3.080	2.955	3.025	2.617	2.411	2.369	1.948	2.144	2.466	2.395	2.167	2.442	2.050	2.038	1.576	2.111	2.119	1.738	1.767	1.875	1.763	1.697	1.795	1.250	1.095	1.258	0.972
266.0	555.2	278.4	262.1	169.0	109.0	102.2	52.95	50.01	146.1	366.5	114.7	43.89	 1064	9999.9	 9534	634.3	11.36	7.917	7.207	5.857	5.116	4.248	3.782	3.077	2.973	2.697	2.697	2.751	2.606	2.345	3.000	2.207	2.538	2.333	2.444	2.643	2.313	2.048	1.788	2.052	2.052	1.758	1.783	1.982	1.593	1.632	1.885	1.215	1.216	1.155	1.326
