Some comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wavelength,600,597,594,591,588,585,582,579,576,573,570,567,564,561,558,555,552,549,546,543,540,537,534,531,528,525,522,519,516,513,510,507,504,501,498,495,492,489,486,483,480,477,474,471,468,465,462,459,456,453,450,447,444,441,438,435,432,429,426,423,420,417,414,411,408,405,402,399,396,393,390,387,384,381,378,375,372,369,366,363,360,357,354,351,348,345,342,339,336,333,330,327,324,321,318,315,312,309,306,303,300,297,294,291,288,285,282,279,276,273,270,267,264,261,258,255,252,249,246,243,240
,,212.622,27.7494050716889,-1.91968242014226,9.25345256357948,15.1638032354733,41.4373987754427,8.39726750265934,23.8190071495462,25.7501614824643,20.477941368032,24.6496334960077,18.063638446967,25.0485829463861,7.94899166379566,17.6875862226333,21.4499695297212,28.4072410168337,18.512376135839,27.7627385587532,15.7210476076274,10.9668670944476,2.94774938392786,8.54568339571872,9.30680008038315,11.0353744161331,14.1135919713203,17.9132820092434,16.322207788792,-1.79704195034279,2.59880316256694,-2.49862150752795,10.8135938487693,14.5825003397397,15.3398042562663,7.35356500273633,15.6917225576079,5.80746175536101,11.5961269213229,7.05370705386627,6.24503914999336,5.37734696996407,-2.33629401958355,7.92727381866478,4.42936026505473,4.06345935867385,1.19997627980677,5.32859562354679,2.10138824350153,1.37180973670959,1.8281605638877,3.24797784757167,1.40186176192555,5.87743207066906,7.21807909480368,8.78185532389353,6.46377455065712,12.4554593951922,11.3271613882747,7.56850430629012,7.40266173793104,4.31194633799912,7.49843846813064,9.08519129532905,8.11353854419504,1.7432659162557,9.84388957034284,8.90182176899664,5.69158072903863,9.09031320277679,6.42529537882024,13.1887089024752,15.441229079662,7.62625747135493,4.72577791791914,2.80086146162761,9.23655757526539,4.92280840812822,8.95855462058063,7.62140076279371,4.00098123109781,6.28857977365985,2.75612428577225,4.07768248334592,5.16465771791599,4.02781610639862,8.51439703310256,5.40740638972699,5.23128038891714,9.22173735452193,4.46192026670002,8.41577905011866,6.20696178664401,10.8229474899419,8.29468641000578,9.16952502716502,6.32429645766728,7.36472029829487,3.02597719574749,13.4807850723071,11.1271270020043,6.1916231541242,1.83109494569481,16.8597281529503,15.2226813757459,14.2619646783362,12.2157122125117,14.7485036087574,17.253836156771,31.9967015036733,29.134781758143,12.353809976203,37.9169818361016,42.155708131776,25.802882213549,35.6596856351919,78.8579565096196,55.2118581652152,94.4262816855021,237.136250633111,399.157146183053,70.8814527992115,443.864209212702
,,215.78,-16.8478530792397,-27.8353950920627,-18.506905127159,-10.7038611073929,-20.7186993877214,-36.1082502614352,-0.821345074122282,-12.8750807412321,-21.2655544975717,-29.2714397765092,-17.31098684501,-21.3649678072117,-10.1168984811945,-12.0275586313906,-8.30321401150499,-15.5563462711232,-14.5454383924449,-6.45645082761702,-22.6383085549834,-17.0595710358075,-2.94774938392786,-16.5216545650562,-10.4017177368988,-3.15296411889518,-12.6014214029646,-9.19871238312497,-4.19713914568936,-0.898520975171397,-5.6307401855617,-9.16161219426916,-10.413090372889,-9.21000021457244,-12.4179367788822,-6.6532254786662,-7.01119518531417,-7.03008528280544,-9.05063564591052,-2.53933453939186,-2.98675785434465,2.44424862271094,-3.97169983329204,-0.452987075352273,-4.04419850287606,-0.81269187173477,-3.5999288394203,-2.74042060639549,-3.23290499000236,-4.11542921012877,0.914080281943849,-4.39432297024402,-3.80505335379791,0,-2.83567393010144,-6.58639149292015,-5.62067352231054,-4.81233658450606,-5.80171680862851,-8.35145302763048,-7.15590634666667,-4.07239376366583,-4.59581712562846,-5.64755134574509,-0.540902569613003,-7.26360798439877,-4.92194478517142,-8.26597735692545,-8.53737109355794,-1.21204176037024,-1.16823552342186,-0.860133189291858,-4.21124429445328,-5.17496042699084,-1.31271608831087,-4.32860407706085,-6.7401906630315,-1.96912336325129,0,-4.76337547674607,-5.88379592808502,-4.89111760173544,-2.75612428577225,-5.21037206205312,-6.73651006684695,-2.01390805319931,0,-2.92901179443545,-5.23128038891714,-9.45228078838498,-2.81805490528422,-1.20225415001695,-1.73794930026032,-4.38071684116696,-10.970391703556,0,-7.47416854087951,-10.3106084176128,-5.74935667192023,-10.0322121468332,-7.85444258965007,1.71989532059006,-2.56353292397273,-16.4676414517189,-10.1484542504973,-14.7220280550567,-17.3055923010583,-3.97075097158853,-7.02934065646225,-4.36318656868272,-22.4754030705675,-11.4035169011104,-3.25002701452299,-8.67911638007153,-2.86698691261655,-37.3577659035344,-58.1058626912986,-47.3244498558988,-48.9617756887789,-49.4033855485648,-133.052382061018,-212.644358397634,-507.273381957374
,,218.941,20.8120538037666,5.75904726042677,7.40276205086359,21.4077222147858,-6.0429539880854,20.1534420063824,8.21345074122282,6.43754037061607,36.2302039588258,8.47331151425266,-11.2897740293544,2.94689211133954,0,8.49004138686398,-2.07580350287625,8.11635457623821,-5.95040661509111,12.2672565724723,0.628841904305094,2.43708157654392,-2.94774938392786,-7.97597116933747,7.11696476735182,-4.20395215852691,3.52839799283008,0.484142757006578,1.86539517586194,2.69556292551419,-3.03193702299476,-3.33149534337061,8.01006951760692,0,3.28710091205706,-0.700339524070127,-1.33546574958365,-3.66787058233327,5.65664727869408,7.90015190033022,6.78808603260148,3.9107977963375,0.233629401958355,0.905974150704546,-2.88871321634004,6.0139198508373,1.79996441971015,-0.456736767732582,2.26303349300165,1.71476217088699,1.27971239472139,2.67480528623549,-0.600797897968092,5.42532191138682,4.1246166256021,1.64659787323004,6.46377455065712,-3.68002209403405,0.55254445796462,-1.04393162845381,-0.246755391264368,2.63507831766613,-2.17696600687664,4.91091421369138,2.43406156325851,7.84469662315067,0,0.317922206035594,3.16198929391035,-1.81806264055536,3.50470657026559,0.286711063097286,1.68449771778131,0.817099014788028,3.67560504727044,0,-3.49491367712745,1.47684252243847,1.21061548926765,1.42901264302382,4.47168490534461,5.58984868769764,5.28257154773014,2.71845498889728,4.04190604010817,1.79014049173272,2.91282003764035,-2.25308599571958,4.32149249519242,2.53597777249353,8.21932680707898,6.49217241009154,0.24827847146576,-1.28844612975499,1.0702821174201,8.33593184287729,2.87468020803058,-3.24047693124974,4.84156351319598,-1.25402651835415,4.25448973606045,5.15968596177017,9.88791270675196,8.62590742709087,-0.422852260437386,12.4217111714541,8.65279615052913,14.181253469959,9.58546453153943,2.90879104578848,8.32422335946943,3.80117230037015,5.41671169087165,2.47974753716329,30.1033625824738,44.1500869769043,51.8802345458024,28.9204971341604,20.9836181523338,64.2244012131342,66.5261910305089,-35.4407263996057,169.091127319125
,,222.105,14.8657527169762,-3.83936484028451,15.7308693580851,6.24391897931253,14.675745399636,-1.67945350053187,-4.10672537061141,8.04692546327008,7.08851816585722,14.6357198882546,11.2897740293544,33.1525362525699,2.89054242319842,4.95252414233732,27.67738003835,0,2.64462516226272,21.3062877311362,9.43262856457641,1.82781118240794,11.7909975357114,11.394244527625,9.85425890864098,5.25494019815863,13.6095351152017,11.6194261681579,6.0625343215513,14.3763356027424,-5.19760632513387,0.832873835842651,6.00755213820519,4.60500010728622,2.92186747738405,7.00339524070127,-1.66933218697956,-3.36221470047217,4.80815018688996,2.53933453939186,13.0331251825948,4.1552226586086,1.40177641175013,1.35896122605682,4.04419850287606,1.78792211781649,3.14993773449276,3.80613973110485,3.55619548900259,1.88623838797569,-2.01097662027647,-2.4837477657901,4.40585125176601,4.52110159282235,2.57788539100131,5.21422659856178,12.3654817490832,6.79388694283208,3.86781120575234,3.65376069958834,0.493510782528736,-2.87463089199941,5.80524268500437,2.45545710684569,3.78631798729102,2.90544319375951,3.69145858887856,11.1272772112458,6.00777965842966,4.84816704148096,5.84117761710931,-1.43355531548643,3.64974505519284,4.08549507394014,1.31271608831087,-0.763871307716621,2.74600360345728,5.41508924894104,4.35821576136355,1.42901264302382,1.64746285986381,1.86328289589921,0.918708095257416,1.81230332593152,1.12275167780782,8.05563221279724,2.46469387800337,4.2808633918672,3.63915157489888,6.45521614816535,1.17418954386843,1.92360664002712,8.44146802983585,3.34995993736297,-1.87299370548518,-1.1114575790503,2.87468020803058,5.3025986147723,6.05195439149498,3.76207955506244,-5.56356350100213,5.50366502588818,3.66218989138961,4.70504041477684,16.4912381570581,-6.4408872740873,8.65279615052913,13.0467531923623,8.94643356277014,24.7247238892021,16.6484467189389,11.4035169011104,18.4168197489636,-22.3177278344696,20.0689083883159,32.263525098507,64.3314908367949,76.2449469900591,-10.4918090761669,83.9857554325602,133.052382061018,236.271509330705,147.954736404234
,,225.271,-12.8836523547127,-6.7188884704979,12.0294883326533,11.595849533009,16.4023036819461,4.19863375132967,-4.10672537061141,-12.8750807412321,-7.08851816585722,-37.7447512907619,-12.7950772332683,8.84067633401863,5.78108484639685,-4.24502069343199,-5.53547600766999,2.02908864405955,3.96693774339407,-7.10209591037872,-1.25768380861019,-2.43708157654392,-13.5596471660681,7.97597116933747,-0.547458828257832,2.10197607926345,7.56085284177874,-2.42071378503289,-7.92792949741324,1.3477814627571,-4.33133860427823,2.91505842544928,-0.801006951760692,-6.90750016092933,-1.46093373869203,4.20203714442076,0,-1.52827940930553,-1.41416181967352,-2.53933453939186,3.52980473695277,-1.46654917362656,-2.1026646176252,-2.03844183908523,-1.54064704871469,-1.78792211781649,-2.39995255961353,-2.28368383866291,-1.61645249500118,-1.02885730253219,-2.92505690222032,2.86586280668088,-2.00265965989364,2.93871603533453,-0.257788539100131,-0.274432978871673,-6.74480822677265,-5.94465107497807,-3.31526674778772,-0.521965814226905,1.23377695632184,-1.67686802033299,-1.45131067125109,2.20991139616112,-8.38398982900154,1.1621772775038,0.307621549073214,-1.90753323621357,-1.26479571756414,-6.0602088018512,-3.50470657026559,-3.72724382026472,-5.61499239260437,-4.35786141220282,-4.20069148259479,6.11097046173296,0.499273382446778,3.19982546528334,-4.35821576136355,4.04886915523416,-1.4121110227404,6.52149013564725,1.60773916670048,0,-0.44910067112313,-2.90897829906567,-1.79250463854791,-1.35185159743175,3.4117046014677,-3.22760807408268,-6.10578562811581,-0.24045083000339,-3.97245554345216,0.257689225950998,-1.0702821174201,1.94505076333803,-3.16214822883364,-4.12424336704513,4.23636807404649,-7.21065248053634,-0.327268441235419,3.43979064118011,-3.66218989138961,0.392086701231403,-1.69140904174954,-5.06069714392573,3.05392805312793,5.10525124918525,-9.58546453153943,-2.90879104578848,-19.1457137267797,-2.85087922527761,7.58339636722032,-16.1183589915614,8.60096073784966,0,-4.15041876366419,2.62913610310549,59.4535847649457,0,-7.39179900338988,212.644358397634,-63.4091727446717
comments,,228.439,2.97315054339524,46.0723780834141,14.8055241017272,25.8676643428662,9.49607055270562,5.87808725186154,-1.64269014824456,18.5079285655212,15.7522625907938,21.5684293090068,23.3321996606657,13.9977375288628,20.9564325681886,9.19754483576932,4.15160700575249,12.8508947457105,15.2065946830106,3.22822541380851,3.77305142583057,7.31124472963177,14.7387469196393,11.9639567540062,14.2339295347036,4.72944617834277,6.04868227342299,4.3572848130592,8.39427829137872,8.98520975171397,0,4.58080609713458,0.801006951760692,6.14000014304829,5.4785015200951,-3.8518673823857,13.6885239332324,9.16967645583318,4.80815018688996,3.95007595016511,10.0463673282502,0,5.60710564700052,3.85039014049432,1.73322792980402,3.41330586128603,-0.599988139903383,5.0241044450584,0.969871497000707,2.74361947341918,1.46252845111016,2.67480528623549,2.60345755786173,3.61688127425788,2.83567393010144,6.58639149292015,6.1827408745416,4.24617933927005,3.59153897677003,-0.782948721340358,7.89617252045977,4.5514989123324,4.11204690187809,0.491091421369138,4.05676927209752,5.52034206814306,4.92194478517142,3.81506647242713,7.58877430538484,3.63612528111072,0.876176642566397,5.44751019884843,4.77274353371372,7.62625747135493,1.0501728706487,5.60172292325522,8.23801081037183,1.72298294284488,9.20067771843416,3.57253160755955,3.05957388260421,2.09619325788662,7.34966476205933,2.71845498889728,0.44910067112313,6.04172415959793,2.46469387800337,-1.80246879657566,3.18425762803652,4.61086867726096,0.46967581754737,2.16405747003051,-2.73106318612336,3.86533838926497,7.75954535129573,6.9466098690644,5.4618923952581,5.3025986147723,9.38052930681722,10.6592254060102,-4.25448973606045,5.50366502588818,7.69059877191819,8.62590742709087,2.9599658230617,8.28114078096938,4.07190407083724,6.80700166558034,13.4196503441552,22.5431306048607,11.6539127032572,-5.70175845055522,14.0834503962663,0,44.4382971455566,35.6596856351919,33.2033501093135,44.6953137527933,118.907169529891,217.374896413685,177.403176081357,224.45793386417,295.909472808468
